genre,music_decade,music_vibe,listening_frequency,concert
K-Pop,2020s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
K-Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
Traditional & Folk Music,2000s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
Pop,2010s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
Indie/Alternative,1980s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
Pop,2010s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
J-Pop,2020s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
Pop,2000s,Emotional and Deep,Occasionally,"No, I prefer not to attend concerts"
Metal,1970s,Emotional and Deep,Rarely,"Sometimes, depending on the artist or event"
Pop,2020s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
Pop,1990s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
K-Pop,2020s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
Pop,2010s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
Jazz,1990s,Upbeat and Energetic,Rarely,"Sometimes, depending on the artist or event"
Rock,1990s,Emotional and Deep,Frequently,"Yes, I love attending concerts"
Pop,2010s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
EDM (Electronic Dance Music),2000s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
Dangdut,2020s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
Rock,2000s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
Pop Indonesia,2020s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
Punk,2010s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
K-Pop,2020s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
Indie/Alternative,2010s,Emotional and Deep,Frequently,"No, I prefer not to attend concerts"
EDM (Electronic Dance Music),2010s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
Dangdut,1970s,Dark and Intense,"Only in specific situations (e.g., when working, studying)","Yes, I love attending concerts"
K-Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
J-Pop,2010s,Upbeat and Energetic,Occasionally,"Sometimes, depending on the artist or event"
Pop,2000s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
Pop,2020s,Romantic and Smooth,Rarely,"Yes, I love attending concerts"
Rock,1990s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event"
Jazz,1990s,Romantic and Smooth,Occasionally,"Yes, I love attending concerts"
Jazz,1990s,Relaxing and Chill,Occasionally,"No, I prefer not to attend concerts"
J-Pop,2010s,Romantic and Smooth,Frequently,"No, I prefer not to attend concerts"
Pop,1990s,Relaxing and Chill,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
Metal,2010s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
Pop,2010s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
K-Pop,2010s,Relaxing and Chill,Frequently,"Yes, I love attending concerts"
Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
Indie/Alternative,1990s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
Country,1990s,Romantic and Smooth,Frequently,"Yes, I love attending concerts"
EDM (Electronic Dance Music),2020s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
K-Pop,2020s,Upbeat and Energetic,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
K-Pop,2010s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
K-Pop,2010s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
Ballad,2010s,Emotional and Deep,"Only in specific situations (e.g., when working, studying)","No, I prefer not to attend concerts"
Pop,2010s,Romantic and Smooth,Frequently,"Yes, I love attending concerts"
Pop,2010s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
Hip-Hop/Rap,2010s,Dark and Intense,Frequently,"No, I prefer not to attend concerts"
Pop,2020s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event"
Pop Indonesia,2010s,Romantic and Smooth,"Only in specific situations (e.g., when working, studying)","Sometimes, depending on the artist or event"
Pop,2000s,Romantic and Smooth,Frequently,"No, I prefer not to attend concerts"
Hip-Hop/Rap,2010s,Upbeat and Energetic,Frequently,"No, I prefer not to attend concerts"
EDM (Electronic Dance Music),2010s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
classical,2020s,Dark and Intense,Rarely,"Yes, I love attending concerts"
