user,age,status,gender,drinks,height,smokes,religion
user0,22,single,m,yes,190.0,yes,islam
user1,35,single,m,yes,178.0,no,islam
user2,38,available,m,yes,173.0,no,islam
user3,23,single,m,yes,180.0,no,islam
user4,29,single,m,yes,168.0,no,islam
user5,29,single,m,yes,170.0,no,islam
user7,31,single,f,yes,165.0,no,islam
user8,24,single,f,yes,170.0,yes,islam
user9,37,single,m,no,165.0,no,islam
user10,35,available,m,yes,178.0,yes,islam
user11,28,seeing someone,m,yes,183.0,no,islam
user13,30,single,f,yes,168.0,no,islam
user14,29,single,f,yes,157.0,no,islam
user15,39,single,f,yes,165.0,no,islam
user16,33,single,m,yes,178.0,yes,islam
user17,26,single,f,yes,163.0,no,islam
user18,31,single,m,yes,180.0,no,islam
user19,33,single,m,yes,183.0,no,islam
user20,27,single,f,yes,170.0,no,islam
user21,22,single,f,yes,170.0,no,islam
user22,30,single,m,yes,175.0,no,islam
user23,30,single,m,no,180.0,no,islam
user24,33,single,m,yes,185.0,yes,islam
user25,28,single,m,yes,178.0,no,islam
user26,22,single,m,yes,183.0,yes,islam
user27,22,single,m,yes,170.0,no,islam
user28,30,single,m,yes,188.0,no,islam
user29,32,single,m,yes,173.0,no,islam
user30,27,single,f,yes,163.0,yes,islam
user31,27,single,m,yes,183.0,no,islam
user32,38,single,f,yes,170.0,no,islam
user33,20,single,f,yes,152.0,no,islam
user34,27,single,m,yes,175.0,yes,islam
user36,32,single,m,yes,175.0,yes,islam
user39,35,single,m,yes,188.0,no,islam
user40,30,single,m,yes,193.0,no,islam
user42,30,single,m,yes,190.0,no,protestant christianity
user43,40,single,m,yes,180.0,no,islam
user44,29,single,f,yes,168.0,no,islam
user47,28,single,m,yes,178.0,no,roman catholicism
user48,31,single,f,yes,170.0,no,islam
user49,26,single,f,yes,168.0,no,islam
user50,33,single,f,yes,168.0,no,islam
user51,38,single,f,yes,165.0,no,islam
user52,31,single,m,yes,175.0,no,islam
user54,33,single,m,yes,175.0,no,islam
user55,33,single,m,yes,178.0,no,islam
user56,26,single,m,yes,180.0,no,islam
user57,21,single,m,yes,183.0,yes,islam
user58,22,single,m,yes,178.0,yes,islam
user59,31,single,m,yes,180.0,yes,islam
user60,31,seeing someone,m,yes,170.0,no,islam
user61,35,single,m,yes,190.0,no,islam
user62,31,single,m,yes,178.0,yes,islam
user63,28,single,f,yes,170.0,yes,islam
user64,28,single,m,yes,183.0,no,islam
user65,29,single,m,yes,173.0,no,islam
user66,22,single,m,yes,165.0,no,islam
user67,30,single,f,yes,168.0,yes,islam
user68,31,single,f,yes,175.0,yes,islam
user69,29,single,m,yes,193.0,no,islam
user70,25,single,f,yes,157.0,no,islam
user71,33,single,f,yes,170.0,no,islam
user72,35,single,m,yes,185.0,no,islam
user73,31,single,f,yes,155.0,no,islam
user76,26,single,m,yes,183.0,no,islam
user77,25,seeing someone,f,yes,165.0,no,islam
user78,34,single,f,yes,170.0,no,islam
user79,21,single,m,yes,180.0,no,islam
user80,28,single,f,yes,170.0,no,protestant christianity
user81,31,single,m,yes,175.0,no,islam
user82,34,single,m,yes,175.0,no,islam
user83,32,single,f,yes,163.0,no,islam
user84,30,single,m,yes,185.0,no,islam
user85,28,single,m,yes,173.0,no,islam
user86,40,single,f,yes,168.0,no,islam
user87,27,single,f,yes,155.0,no,islam
user88,43,single,m,yes,180.0,no,islam
user89,37,single,f,yes,163.0,no,islam
user90,24,single,m,yes,188.0,yes,protestant christianity
user93,28,single,m,yes,175.0,no,islam
user94,29,single,m,yes,170.0,no,islam
user95,25,single,m,yes,198.0,no,islam
user96,34,single,m,yes,190.0,no,islam
user97,39,single,m,yes,178.0,no,hinduism
user98,31,single,f,yes,168.0,no,islam
user99,46,single,m,yes,183.0,no,protestant christianity
user100,38,single,m,yes,180.0,no,islam
user101,30,single,m,yes,173.0,no,islam
user102,41,single,m,yes,175.0,no,islam
user103,39,single,m,yes,178.0,no,islam
user104,31,single,f,yes,160.0,no,buddhism
user105,42,single,f,yes,165.0,no,islam
user106,45,single,f,yes,163.0,no,islam
user107,21,single,m,yes,183.0,no,protestant christianity
user108,28,single,f,yes,163.0,no,islam
user109,29,single,m,yes,168.0,no,islam
user110,36,single,m,yes,173.0,no,islam
user111,28,single,m,yes,180.0,no,islam
user113,23,single,f,yes,168.0,yes,islam
user114,36,seeing someone,m,yes,178.0,no,islam
user115,35,single,m,yes,183.0,yes,islam
user117,55,single,m,no,170.0,no,roman catholicism
user118,21,single,f,no,165.0,no,islam
user119,28,seeing someone,f,yes,168.0,no,islam
user120,24,single,m,yes,180.0,no,islam
user121,50,single,m,yes,190.0,no,islam
user122,23,single,m,yes,168.0,yes,islam
user123,21,single,m,yes,178.0,yes,islam
user124,27,single,f,yes,157.0,no,islam
user125,27,single,m,yes,173.0,no,islam
user126,43,single,m,yes,185.0,no,roman catholicism
user127,27,available,m,yes,173.0,no,islam
user128,26,single,m,yes,180.0,yes,buddhism
user129,26,available,m,yes,168.0,no,islam
user130,30,available,m,yes,175.0,yes,islam
user131,32,seeing someone,f,yes,173.0,yes,islam
user132,43,single,f,yes,173.0,no,islam
user133,39,single,f,yes,173.0,no,islam
user134,22,single,m,yes,173.0,no,protestant christianity
user136,24,single,m,yes,190.0,yes,islam
user137,50,single,m,yes,185.0,no,protestant christianity
user138,32,seeing someone,m,no,170.0,no,islam
user139,23,single,m,yes,185.0,no,islam
user140,32,single,f,yes,157.0,no,islam
user141,59,single,m,yes,185.0,no,islam
user142,36,single,m,yes,185.0,no,islam
user143,29,single,m,yes,188.0,no,islam
user144,39,single,f,yes,160.0,no,islam
user145,24,single,m,yes,170.0,no,islam
user146,28,single,m,yes,178.0,yes,islam
user147,50,single,m,yes,168.0,no,hinduism
user148,32,single,f,yes,163.0,no,islam
user149,41,single,f,yes,170.0,no,islam
user150,50,single,f,yes,160.0,no,protestant christianity
user151,44,single,m,yes,173.0,no,islam
user153,24,available,m,yes,190.0,yes,islam
user154,26,single,m,no,185.0,no,islam
user155,29,single,f,yes,155.0,no,islam
user157,29,single,f,yes,173.0,no,islam
user158,54,single,f,yes,175.0,no,islam
user159,20,single,f,yes,160.0,no,islam
